,Unnamed: 0,word,word_onsets,word_offsets,cloze_pre_rep,cloze_post_rep,cloze_MemEffect_rep,boundary,agreement
163,163,with,79.5249999243164,79.64499997924804,0.18,0.32,0.14,,
164,164,cream,79.64499997924804,80.0250000036621,0.68,0.74,0.0599999999999999,,
165,165,so,82.30499997070311,82.5050000024414,0.0,0.18,0.18,,
166,166,i,82.5050000024414,82.5450000805664,0.3,0.66,0.36,,
167,167,give,82.5450000805664,82.72500007324219,0.0,0.18,0.18,,
168,168,him,82.72500007324219,82.82500008911131,0.84,0.7,-0.14,,
169,169,a,82.82500008911131,82.85499996826171,0.6,0.78,0.18,,
170,170,moment,82.85499996826171,83.37500008666991,0.0,0.22,0.22,,
171,171,and,85.53499999877928,85.7949999682617,0.02,0.42,0.3999999999999999,,
172,172,then,85.63500001464843,85.74500005004882,0.3,0.44,0.14,,
173,173,i,85.74500005004882,85.82500002685546,0.32,0.48,0.1599999999999999,,
174,174,say,85.82500002685546,86.06499995727538,0.08,0.28,0.2,,
175,175,dean,86.06499995727538,86.24499994995116,0.06,0.38,0.32,,
176,176,mcgowan,86.24499994995116,86.69499993164062,0.58,0.82,0.24,,
177,177,would,86.69499993164062,86.845000045166,0.02,0.14,0.12,,
178,178,you,86.845000045166,86.9150000024414,0.84,0.74,-0.0999999999999999,,
179,179,care,86.9150000024414,87.09499999511718,0.04,0.22,0.18,,
180,180,to,87.09499999511718,87.17499997192382,0.7,0.72,0.02,,
181,181,comment,87.17499997192382,87.71499994995116,0.2,0.54,0.34,,
182,182,on,87.71499994995116,87.79499992675781,0.68,0.62,-0.06,,
183,183,this,87.79499992675781,87.9450000402832,0.1,0.3,0.1999999999999999,,
184,184,latest,87.9450000402832,88.24500008789062,0.0,0.14,0.14,,
185,185,attack,88.24500008789062,88.56499999511718,0.0,0.28,0.28,,
186,186,and,91.834999921875,92.03499995361328,0.06,0.38,0.32,,
187,187,the,91.95499997680665,92.02499993408205,0.04,0.12,0.0799999999999999,,
188,188,dean,92.02499993408205,92.23499998535156,0.34,0.6,0.2599999999999999,,
189,189,say,92.23499998535156,92.40499995849608,0.0,0.04,0.04,,
190,190,yes,92.47499991577148,93.2050000854492,0.02,0.16,0.14,,
191,191,i,93.58499993041993,93.69499996582032,0.58,0.42,-0.1599999999999999,,
192,192,would,93.69499996582032,93.79499998168944,0.58,0.52,-0.0599999999999999,,
193,193,care,93.79499998168944,93.95499993530272,0.0,0.16,0.16,,
194,194,to,93.95499993530272,94.01500005249022,0.84,0.78,-0.0599999999999999,,
195,195,comment,94.01500005249022,94.51499995239256,0.7,0.62,-0.0799999999999999,,
196,196,fuck,95.1649999658203,95.76500006103517,0.0,0.42,0.42,,
197,197,you,95.80499995971678,96.28499999999998,0.66,0.8,0.14,1.0,0.34146341463414637
198,198,so,98.22500002075196,98.38499997436524,0.0,0.22,0.22,,
199,199,i,98.38499997436524,98.44499991210937,0.32,0.7,0.3799999999999999,,
200,200,race,98.44499991210937,98.79500005737304,0.0,0.06,0.06,,
201,201,back,98.79500005737304,98.93499997192382,0.12,0.46,0.34,,
202,202,to,98.93499997192382,99.05500002685548,0.86,0.84,-0.02,,
203,203,the,99.05500002685548,99.12499998413084,0.64,0.78,0.14,,
204,204,newsroom,99.12499998413084,99.5950000048828,0.02,0.26,0.24,,
205,205,with,99.5950000048828,99.7050000402832,0.0,0.18,0.18,,
206,206,my,99.7349999194336,99.83499993530272,0.58,0.7,0.12,,
207,207,scoop,99.83499993530272,100.6050000036621,0.0,0.22,0.22,,
208,208,and,100.87499999267575,101.03499994628903,0.6,0.8,0.2,,
209,209,i,101.00500006713868,101.35500003295896,0.24,0.5,0.26,,
210,210,and,101.35500003295896,101.46500006835936,0.0,0.14,0.14,,
211,211,i,101.46500006835936,101.49499994750975,0.32,0.44,0.12,,
212,212,find,101.49499994750975,101.73500005737304,0.0,0.24,0.24,,
213,213,the,101.73500005737304,101.85499993286132,0.24,0.38,0.14,,
214,214,editor,101.85499993286132,102.47500006713864,0.2,0.64,0.44,,
215,215,jim,102.56500006347656,102.80499999389647,0.0,0.28,0.28,,
216,216,dwyer,102.80499999389647,103.19500003784178,0.0,0.28,0.28,,
217,217,whos,103.19500003784178,103.33499995239256,0.0,0.14,0.14,,
218,218,a,103.33499995239256,103.36500001098632,0.04,0.4,0.36,,
219,219,senior,103.36500001098632,103.91500000854492,0.06,0.22,0.16,,
220,220,and,104.47500002563476,104.65500001831052,0.04,0.3,0.26,,
221,221,he,104.65500001831052,104.78499991333008,0.1,0.24,0.1399999999999999,,
222,222,will,104.78499991333008,104.91499998779295,0.04,0.16,0.12,,
223,223,go,104.91499998779295,105.04500006225584,0.0,0.18,0.18,,
224,224,on,105.04500006225584,105.25499993408202,0.1,0.46,0.36,,
225,225,to,105.25499993408202,105.3649999694824,0.34,0.68,0.34,,
226,226,win,105.3649999694824,105.4750000048828,0.0,0.5,0.5,,
227,227,a,105.4750000048828,105.50500006347656,0.26,0.72,0.4599999999999999,,
228,228,pulitzer,105.50500006347656,105.81499995117188,0.1,0.6,0.5,,
